Noncampuscrime060708[3,4,5,6].csv
Unit 29216,APO AE 09102,Heidelberg,NULL
Unit 5060,Box 0100,APO AP 96328-0100,Tokyo
6865 Deerpath Station,Elkridge,MD,21075.0
9630 Gudelsky Drive,Rockville,MD,20850.0
220 Arch Street,Baltimore,MD,21201.0
1000 Hilltop Circle,Baltimore,MD,21250.0
US Route 1,COLLEGE PARK,MD,20742.0
9630 Gudelsky Drive,Rockville,MD,20850.0
1300 MT ROYAL AVE,BALTIMORE,MD,212174191.0
30665 Student Service Lane,PRINCESS ANNE,MD,218531299.0
9630 Gudelsky Drive,Rockville,MD,20850.0
700 YORK RD,TOWSON,MD,212049840.0
8736 ARLISS ST,SILVER SPRING,MD,20901.0
900 Hungerford Drive,ROCKVILLE,MD,20850.0
7625 Takoma Avenue,Takoma Park,MD,20912.0
20200 Observation Drive,Germantown,MD,20876.0
1700 E COLD SPRING LN,BALTIMORE,MD,212510001.0
16300 OLD EMMITSBURG RD,EMMITSBURG,MD,21727.0
5350 Spectrum Drive,Suite A,Frederick,MD
400 MT WILSON LN,BALTIMORE,MD,21208.0
8435 ANNAPOLIS RD,NEW CARROLLTON,MD,20784.0
4701 N CHARLES ST,Baltimore,MD,212102476.0
301 LARGO RD,LARGO,MD,207742199.0
1520 S CATON AVE,BALTIMORE,MD,212271063.0
1811B YORK RD,TIMONIUM,MD,210935119.0
505 EASTERN BLVD,BALTIMORE,MD,212216702.0
5400 ROLAND AVE,BALTIMORE,MD,21210.0
1101 CAMDEN AVE,SALISBURY,MD,218016862.0
18952 E. FISHER RD,ST MARY'S CITY,MD,206863001.0
500 N CAROLINE ST,BALTIMORE,MD,212051898.0
200 N. Central Ave,Baltimore,MD,21202.0
60 College Ave,Annapolis,MD,214042800.0
4600 POWDER MILL RD,BELTSVILLE,MD,20705.0
8000 YORK RD,TOWSON,MD,212520001.0
7750 Montpelier Road,Laurel,MD,20723.0
119 N. Centre Street,CUMBERLAND,MD,21502.0
1525 GREENSPRING VALLEY RD,STEVENSON,MD,211530641.0
100 Campus Circle,Owings Mills,MD,211177803.0
6511 PRINCESS GARDEN PKY,LANHAM,MD,207063599.0
300 WASHINGTON AVE,CHESTERTOWN,MD,21620.0
6896 Laurel St. NW,Washington,DC,20012.0
2 COLLEGE HILL,WESTMINSTER,MD,211574390.0
32000 Campus Drive,Salisbury,MD,21804.0
1000 STATE ST,SPRINGFIELD,MA,1109.0
Boltwood Avenue,AMHERST,MA,10025000.0
210 HERRICK RD,NEWTON CENTRE,MA,24592243.0
50 SUNSET LANE,PAXTON,MA,16121198.0
215 Fitchburg Street,Marlborough,MA,1752.0
500 SALISBURY ST,WORCESTER,MA,16091296.0
338 MAIN ST,SOUTH LANCASTER,MA,15611000.0
231 Forest Street,Babson Park,MA,24570310.0
333 SHREWSBURY ST,WORCESTER,MA,1604.0
950 METROPOLITAN AVE,BOSTON,MA,21364030.0
588 LONGMEADOW ST,LONGMEADOW,MA,1106.0
122 COMMONWEALTH AVE,BOSTON,MA,21162901.0
225 TURNPIKE ST,CANTON,MA,20212358.0
61 SEVER ST,WORCESTER,MA,16150071.0
964 Main Street,Leicester,MA,15241359.0
175 FOREST ST,WALTHAM,MA,24524705.0
1140 BOYLSTON ST,BOSTON,MA,2215.0
1350 WEST ST,PITTSFIELD,MA,12015786.0
30 WEST STREET,BOSTON,MA,2111.0
320 NEWBURY ST,BOSTON,MA,21152703.0
1581 BEACON ST,BROOKLINE,MA,2446.0
140 COMMONWEALTH AVE,CHESTNUT HILL,MA,24673961.0
8 THE FENWAY,BOSTON,MA,2215.0
1 Silber Way,BOSTON,MA,2215.0
715 Albany Street,Boston,MA,2118.0
415 South Street,Waltham,MA,24549110.0
131 Summer Street,BRIDGEWATER,MA,23250001.0
777 Elsbree St,Fall River,MA,27207399.0
680 CENTRE ST,BROCKTON,MA,23023395.0
250 NEW RUTHERFORD AVE,BOSTON,MA,21292925.0
111 Beacon St.,Boston,MA,2116.0
1000 MASSACHUSETTS  AVENUE,CAMBRIDGE,MA,2138.0
753 Braod Street,Augusta,GA,30901.0
1403 Greenbrier Parkway,Chesapeake,VA,23320.0
337 N. Vineyard Avenue,Ontario,CA,91764.0
60 Island Street,Lawrence,MA,1841.0
8000 Centerview Parkway,Cordova,TN,38108.0
268 Ponce deLeon Avenue,San Juan,PR,918.0
570 Cottage Street,Springfield,MA,1104.0
2240 IYANNOUGH RD,WEST BARNSTABLE,MA,26681599.0
300 WILDWOOD AVE,WOBURN,MA,1801.0
2120 DORCHESTER AVE,BOSTON,MA,21245698.0
950 MAIN ST,WORCESTER,MA,16101477.0
332 S. Deerfield Rd.,CONWAY,MA,13410179.0
1071 BLUE HILL AVE,MILTON,MA,21862395.0
5 Middlesex Ave,Somerville,MA,2145.0
99 Main Street,Franklin,MA,20381941.0
STONEHAVEN RD,FALL RIVER,MA,2723.0
150 Hanscom Drive,Bedford,MA,1730.0
23 E ELM AVE,QUINCY,MA,21702999.0
120 Boylston Street,Boston,MA,21164624.0
Kasteellaan 20,5855 AE Well,L,The Netherlands
4001 W. Alameda Avenue - Suite 200,Burbank,CA,915054338.0
400 THE FENWAY,BOSTON,MA,2115.0
314 MOODY ST,WALTHAM,MA,2453.0
376 HALE ST,BEVERLY,MA,1915.0
99 BRATTLE ST,CAMBRIDGE,MA,21383494.0
260 S Main St,FALL RIVER,MA,27203445.0
118 BEACON ST,BOSTON,MA,2116.0
777Church Street,New Bedford,MA,2745.0
451 Elm Street,North Attleboro,MA,2760.0
160 PEARL ST,FITCHBURG,MA,14202697.0
100 STATE ST,FRAMINGHAM,MA,17019101.0
41 BERKELEY ST,BOSTON,MA,2116.0
255 Grapevine Road,Wenham,MA,1984.0
130 ESSEX ST,SOUTH HAMILTON,MA,1982.0
14542 Choate Circle,Charlotte,NC,282739103.0
90 Warren Street,Boston,MA,2119.0
ONE COLLEGE DR,GREENFIELD,MA,13019739.0
241 MILLERS FALLS RD,TURNERS FALLS,MA,13760308.0
893 WEST ST,AMHERST,MA,10023359.0
Massachusetts Hall,Cambridge,MA,2138.0
Massachusetts Hall,Cambridge,MA,2138.0
160 Herrick Road,Newton Centre,MA,24592237.0
50 GODDARD AVE,BROOKLINE,MA,24457496.0
276 WATER ST,FITCHBURG,MA,14205675.0
ONE COLLEGE STREET,WORCESTER,MA,16102395.0
303 HOMESTEAD AVE,HOLYOKE,MA,1040.0
126 Newbury Street,Boston,MA,2116.0
11 CENTRAL ST,WEST SPRINGFIELD,MA,1089.0
240 LIBERTY ST,BROCKTON,MA,2401.0
281 UNION ST,NEW BEDFORD,MA,2740.0
1844 COMMONWEALTH AVE,NEWTON,MA,24662716.0
170 GOVERNORS AVE,MEDFORD,MA,21551643.0
29 EVERETT ST,CAMBRIDGE,MA,21382790.0
700 Beacon Street,Boston,MA,2215.0
ONE FOLLEN ST,CAMBRIDGE,MA,2138.0
136 CENTRAL ST,LOWELL,MA,18521909.0
1 UNIVERSITY AVE,LOWELL,MA,18545104.0
266 BRIDGE ST,SPRINGFIELD,MA,1103.0
200 PARKING WAY,QUINCY,MA,2169.0
35 LITTLES POINT RD,SWAMPSCOTT,MA,1907.0
374 Whitmore Administration Building,AMHERST,MA,1003.0
100 MORRISSEY BLVD,BOSTON,MA,21253393.0
50 OAKLAND ST,WELLESLEY HILLS,MA,24815399.0
19 Flagg Drive,Framingham,MA,1702.0
250 and 270 Eliot Street,Ashland,MA,1721.0
Boston,179 LONGWOOD AVE,BOSTON,MA
Worcester Campus,19 Foster Street,Worcester,MA
Manchester,NH,campus,1260 Elm Street
621 HUNTINGTON AVE,BOSTON,MA,21155882.0
77 MASSACHUSETTS AVE,CAMBRIDGE,MA,21394307.0
101 ACADEMY DR,BUZZARDS BAY,MA,25321803.0
55 Lake Avenue,North,Worcester,MA
221 RIVERMOOR ST,BOSTON,MA,2132.0
64 Ross Way,QUINCY,MA,2169.0
ONE MASSASOIT BLVD,BROCKTON,MA,23023996.0
900 RANDOLPH ST,CANTON,MA,2021.0
315 TURNPIKE ST,NORTH ANDOVER,MA,1845.0
Charlestown Navy Yard,36 1ST Avenue,BOSTON,MA
591 SPRINGS RD,BEDFORD,MA,17309124.0
33 Kearney Square,Lowell,MA,1852.0
23 ESSEX ST,BEVERLY,MA,1915.0
50 College Street,SOUTH HADLEY,MA,1075.0
777 DEDHAM ST,NEWTON,MA,2459.0
444 GREEN ST,GARDNER,MA,14401000.0
450 West River Street,Orange,MA,1364.0
100 Erdman Way,Leominster,MA,1453.0
One Jackson Place,Devens,MA,1434.0
103 Morse Street,Watertown,MA,2472.0
230 THE FENWAY,BOSTON,MA,21155596.0
1505 COMMONWEALTH AVE,BRIGHTON,MA,21353605.0
1872 Acushnet Ave,New Bedford,MA,2746.0
290 HUNTINGTON AVE,BOSTON,MA,2115.0
424 BEACON ST,BOSTON,MA,21151129.0
930 Commonwealth Avenue,Suite 2A,Boston,MA
4199 Washington Street,Suite 2,Roslindale,MA
150 California Street,Newton,MA,2458.0
154 STUART ST,BOSTON,MA,2116.0
537 COMMONWEALTH AVE,BOSTON,MA,2215.0
129 FISHER AVE,BROOKLINE,MA,2445.0
CENTER RD,DUDLEY,MA,15715000.0
375 Church Street,North Adams,MA,12474100.0
39 NORTH BENNET ST,BOSTON,MA,2113.0
1 Ferncroft Rd,Danvers,MA,19230840.0
300 Broad Street,Lynn,MA,1901.0
181 Elliott St,Beverly,MA,1915.0
10 Brookline Place West,2nd Floor,Brookline,MA
360 HUNTINGTON AVE,BOSTON,MA,2115.0
100 Elliott Street,HAVERHILL,MA,18302399.0
291 SPRINGFIELD ST,CHICOPEE,MA,1013.0
400 HEATH ST,CHESTNUT HILL,MA,2467.0
558 SOUTH AVE,WESTON,MA,24932699.0
24 Saville Ave,QUINCY,MA,2169.0
Plymouth Campus,36 Cordage Park Suite 228,Plymouth,MA
670 W BOYLSTON ST,WORCESTER,MA,16062092.0
100 Front Street,Worcester,MA,1608.0
570 Rutherford Avenue,Charlestown,MA,2129.0
235 WELLESLEY ST,WESTON,MA,24931571.0
1234 COLUMBUS AVE,ROXBURY CROSSING,MA,21203400.0
127 LAKE ST,BRIGHTON,MA,2135.0
352 LAFAYETTE ST,SALEM,MA,1970.0
184 West Boylston Street,West Boylston,MA,1606.0
300 THE FENWAY,BOSTON,MA,21155898.0
451 commonwealth ave,Boston,MA,2115.0
84 ALFORD RD,GREAT BARRINGTON,MA,12309702.0
ELM ST,NORTHAMPTON,MA,1063.0
250 FOUNDRY ST,SOUTH EASTON,MA,2375.0
263 ALDEN ST,SPRINGFIELD,MA,11093797.0
MA,Schrafft Center,529 Main St.,Suite 1M4
SC,4390 Belle Oaks Dr,Suite 200,North Charleston
CA,111 North La Brea Ave.,Suite 101,Inglewood
NH,500 Commercial St,Manchester,NH
WI,744 North 4th St.,Suite 300,Milwaukee
Vt,347 Emerson Falls Rd.,Suite 2,St. Johnsbury
CA,5348 University Ave.,Suite 110,San Diego
FL,225 West Busch Blvd.,Tampa,FL
DE,1007 Orange St.,Suite 500,Wilmington
1 ARMORY SQ,SPRINGFIELD,MA,11051296.0
285 OLD WESTPORT RD,NORTH DARTMOUTH,MA,27472300.0
800 Purchase Street,New Bedford,MA,2740.0
139 South Main St,Fall River,MA,2744.0
200 Mill Road Suite 150,Fairhaven,MA,2719.0
320 WASHINGTON ST,EASTON,MA,23577180.0
8 ASHBURTON PL BEACON HILL,BOSTON,MA,2108.0
1 SCHOOL ST,TAUNTON,MA,27805339.0
419 Boston Avenue,Medford,MA,21555555.0
136 Harrison Avenue,Boston,MA,2111.0
200 Westboro Road,North Grafton,MA,1536.0
FR Campus,Talloires,France,Talloires
106 CENTRAL ST,WELLESLEY,MA,24818203.0
550 HUNTINGTON AVE,BOSTON,MA,21155998.0
1215 WILBRAHAM RD,SPRINGFIELD,MA,11192684.0
577 WESTERN AVE,WESTFIELD,MA,10861630.0
26 E MAIN ST,NORTON,MA,2766.0
200 THE RIVERWAY,BOSTON,MA,22154176.0
880 MAIN ST. PO Box 368,WILLIAMSTOWN,MA,12670368.0
100 INSTITUTE RD,WORCESTER,MA,1609.0
486 CHANDLER ST,WORCESTER,MA,16022597.0
329-1/2 E MAUMEE,ADRIAN,MI,49221.0
110 S. Madison Street,Adrian,MI,49221.0
611 E PORTER ST,ALBION,MI,49224.0
64 WALDRON ST,HILLSDALE,MI,49242.0
24567 NORTHWESTERN HWY STE 200,SOUTHFIELD,MI,48075.0
614 W SUPERIOR,ALMA,MI,488011599.0
665 JOHNSON ST,ALPENA,MI,49707.0
8975 US Hwy 31,BERRIEN SPRINGS,MI,49104.0
1607 ROBINSON RD SE,GRAND RAPIDS,MI,495061799.0
1020 S WASHINGTON ST,OWOSSO,MI,488674400.0
1050 West Bristol Road,Flint,MI,485079987.0
6667 Main Street,Cass City,MI,48726.0
960 S. M-33,West Branch,MI,48661.0
2001 N LINCOLN RD,ESCANABA,MI,498292511.0
2801 N. U.S. 2,Iron Mountain,MI,49801.0
917 SAGINAW ST,BAY CITY,MI,487085614.0
3201 BURTON SE,GRAND RAPIDS,MI,49546.0
3233 BURTON ST SE,GRAND RAPIDS,MI,495464387.0
550 STEPHENSON HWY #100,TROY,MI,48083.0
26811 ORCHARD LAKE ROAD,FARMINGTON HILLS,MI,483344512.0
312U WARRINER HALL,MT PLEASANT,MI,48859.0
1401 E COURT ST,FLINT,MI,48503.0
2100 West Thompson Road,Fenton,MI,48430.0
1735 FOUR MILE NE,GRAND RAPIDS,MI,495252440.0
455 Standale Plaza NW,Grand Rapids,MI,49544.0
6091 Constitution Blvd.,Portage,MI,49024.0
3601 Plymouth Road,Ann Arbor,MI,481052659.0
3750 CLEARY DRIVE,HOWELL,MI,488438566.0
4090 GEDDES RD,ANN ARBOR,MI,48105.0
39221  WOODWARD AVENUE,BLOOMFIELD HILLS,MI,483030801.0
201 E KIRBY,DETROIT,MI,48202.0
6191 Kraft Avenue S.E.,Grand Rapids,MI,49512.0
1500 North Pine Street,Alma,MI,48801.0
200 West Van Buren Street,Battle Creek,MI,49017.0
80 Livingston Blvd.,Gaylord,MI,49735.0
2200 Dendrinos Drive,STE. 110,Traverse City,MI
7121 Grape Road,Granger,IN,465309069.0
8200 Georgia Street,Merriville,IN,464106128.0
4123 West Main Street,Kalamazoo,MI,490062791.0
220 East Kalamazoo,Lansing,MI,489332197.0
4801 Oakman Blvd.,Dearborn,MI,481263799.0
550 Lake Drive,Ste. B,Lapeer,MI
71180 Van Dyke road,Romeo,MI,48065.0
27650 Dequindre,Warren,MI,480925209.0
4318 Miller Road Suite A,Flint,MI,48507.0
3555 E Patrick Road,Midland,MI,48642.0
3930 Traxler Court,Bay City,MI,48706.0
150 Nugent Road,Bad Axe,MI,48413.0
1231 Cleaver Road,Caro,MI,48723.0
5300 Bay Road,Saginaw,MI,48604.0
415 East Fulton,Grand Rapids,MI,49503.0
643 S Waverly Road,Holland,MI,494239121.0
1127 S WASHINGTON ST,ROYAL OAK,MI,480673219.0
21255 Wick Road,Taylor,MI,481803749.0
1961 Delta Road,UNIVERSITY CENTER,MI,48710.0
23077 GREENFIELD RD STE LL28,SOUTHFIELD,MI,48075.0
19100 FORT ST,RIVERVIEW,MI,48193.0
368 LAW COLLEGE BLDG,EAST LANSING,MI,488241300.0
WILLOW RUN AIRPORT     47884 D ST,BELLEVILLE,MI,48111.0
4001 W McNichols Rd,DETROIT,MI,48221.0
8200 W. Outer Drive,Detroit,MI,48219.0
651 E. Jefferson,Detroit,MI,48226.0
2700 Martin Luther King Jr. Blvd.,Detroit,MI,482082576.0
30821 BARRINGTON,MADISON HEIGHTS,MI,48071.0
15755 NORTHLINE RD,SOUTHGATE,MI,48195.0
1200 Oakwood,YPSILANTI,MI,48197.0
G-4439 Clio Rd,Flint,MI,48504.0
901 S State St,Big Rapids,MI,493072251.0
3214 FLUSHING RD,FLINT,MI,485044395.0
62249 SHIMMEL RD,CENTREVILLE,MI,490329719.0
1700 W. Third Avenue,Flint,MI,485044898.0
Ironwood,E 4946 Jackson Road,Ironwood,MI
1011 ALDON SW,WYOMING,MI,49509.0
1001 E BELTLINE AVE NE,GRAND RAPIDS,MI,495255897.0
1750 WOODWORTH ST NE,GRAND RAPIDS,MI,49525.0
143 BOSTWICK AVE NE,GRAND RAPIDS,MI,495033295.0
1 CAMPUS DR,ALLENDALE,MI,494019403.0
401 W. Fulton Street,Grand Rapids,MI,495046431.0
515 South Waverly Rd.,Holland,MI,494237489.0
221 South Quarterline Rd.,Muskegon,MI,49441.0
2200 Dendrinos Dr. Suite 101,Traverse City,MI,49684.0
6211 W WILLOW HWY,LANSING,MI,489171299.0
5101 EVERGREEN RD,DEARBORN,MI,481281495.0
22586 Ann Arbor Trail,Dearborn Heights,MI,48127.0
3601 Schaefer Road,Dearborn,MI,48126.0
141 E 12TH ST,HOLLAND,MI,49423.0
1980 METRO CT SW,WYOMING,MI,49519.0
2111 EMMONS RD,JACKSON,MI,492018399.0
3610 Wildwood,Jackson,MI,49202.0
3120 West Carleton Road,Hillsdale,MI,49242.0
1376 N Main Street,Adrian,MI,49221.0
6666 LOVERS LN,PORTAGE,MI,49002.0
1200 ACADEMY ST,KALAMAZOO,MI,490063295.0
P.O. box 4070,KALAMAZOO,MI,490034070.0
202 N. Rose Street,Kalamazoo,MI,49007.0
450 NORTH AVE,BATTLE CREEK,MI,490173397.0
2950 West M-179 Highway,Hastings,MI,49058.0
125 Seeley Street,Coldwater,MI,49036.0
405 Hill Brady Road,Battle Creek,MI,49015.0
14055 26 Mile Road,Albion,MI,492249528.0
10775 N ST HELEN RD,ROSCOMMON,MI,48653.0
15233 S DIXIE,MONROE,MI,48161.0
2755 E NAPIER AVE,BENTON HARBOR,MI,490221899.0
1905 Foundation Drive,Niles,MI,49120.0
400 Klock Road,Benton Harbor,MI,49022.0
125 Veterans Blvd,South Haven,MI,49090.0
650 W EASTERDAY AVE,SAULT STE MARIE,MI,49783.0
422 N. Washington Sq.,Lansing,MI,489017210.0
5708 CORNERSTONE DR,LANSING,MI,48917.0
21000 W TEN MILE RD,SOUTHFIELD,MI,480751058.0
2990 West Grand Blvd.,Detroit,MI,48202.0
8211 Big Lake Road,Clarkston,MI,48346.0
44575 Garfield,Clinton Township,MI,48038.0
6501 E. Eleven Mile Road,Warren,MI,48397.0
1701 E. Front Street,Traverse City,MI,49686.0
1515 Howard Street,Petoskey,MI,49770.0
18600 Haggerty Road,Livonia,MI,48152.0
422 North Washington Square,Lansing,MI,48910.0
201 W BROADWAY,MT PLEASANT,MI,48858.0
14500 E TWELVE MILE RD,WARREN,MI,480933896.0
44575 Garfield,Clinton Township,MI,480381139.0
36600 SCHOOLCRAFT RD,LIVONIA,MI,481501176.0
8425 W MCNICHOLS RD,DETROIT,MI,482212599.0
800 W AVON RD,ROCHESTER HILLS,MI,48307.0
503 Thompson St,ANN ARBOR,MI,48109.0
8988-90 GRAND RIVER AVENUE,DETROIT,MI,482042244.0
420 Administration Building,EAST LANSING,MI,488241042.0
1400 Townsend Drive,Houghton,MI,499311295.0
HCR2 Box 736 US 41,Lanse,MI,499469547.0
4901 EVERGREEN RD,DEARBORN,MI,481281491.0
303 E KEARSLEY,FLINT,MI,485021950.0
1375 S CLARE AVE,HARRISON,MI,486259447.0
5805 E. Pickard Street,Mt. Pleasant,MI,48858.0
1555 SOUTH  RAISINVILLE ROAD,MONROE,MI,481619904.0
7777 Lewis Ave.,Temperance,MI,48182.0
2800 COLLEGE DR,SIDNEY,MI,488859723.0
Inc.,5580 East 12 mile road,Warren,MI
1903 MARQUETTE AVE,MUSKEGON,MI,49442.0
221 S QUARTERLINE RD,MUSKEGON,MI,49442.0
9811 Woods Drive,Skokie,IL,60077.0
21107 Lahser Road,SOUTHFIELD,MI,48033.0
1515 Howard Street,Petoskey,MI,49770.0
1401 PRESQUE ISLE,MARQUETTE,MI,49855.0
Escanaba,1625 Sheridan Rd,ESCANABA,MI
1701 E FRONT ST,TRAVERSE CITY,MI,49686.0
4000 Whiting Dr,MIDLAND,MI,48640.0
2900 Featherstone Road,Auburn Hills,MI,483262845.0
22322 Rutland Drive,Southfield,MI,480754793.0
739 South Washington,Royal Oak,MI,480673898.0
27055 Orchard Lake Road,Farmington Hills,MI,48334.0
7350 Cooley Lake Road,Waterford,MI,483274187.0
2200 Squirrel Road,ROCHESTER,MI,483094401.0
320 South Main Street,OLIVET,MI,49076.0
5620 DIXIE HWY,WATERFORD,MI,48329.0
3333 East Beltline N.E.,Grand Rapids,MI,495259781.0
4106 W. Saginaw Highway,LANSING,MI,48917.0
29429 John R,Madison Heights,MI,48071.0
G3630 Miller Road,Suite D,FLINT,MI
2701 CHICAGO BLVD,DETROIT,MI,482061799.0
7400 BAY RD,UNIVERSITY CENTER,MI,48710.0
18600 HAGGERTY RD,LIVONIA,MI,481522696.0
1751 Radcliff,Garden City,MI,48135.0
1247 SIENA HEIGHTS DR,ADRIAN,MI,49221.0
19675 W. Ten Mile Suite 400,Southfield,MI,48075.0
2755 E. Napier Ave.,Benton Harbor,MI,59022.0
1555 S. Raisinville Road,Monroe,MI,48161.0
PO Box 40010,Lansing,MI,489017210.0
450 North Avenue,Battle Creek,MI,99017.0
2111 Emmons Road,Jackson,MI,49201.0
323 Erie St.,Port Huron,MI,48061.0
4800 E Huron River Drive,Ann Arbor,MI,48105.0
323 ERIE,PORT HURON,MI,480615015.0
58900 CHERRY GROVE RD,DOWAGIAC,MI,490479793.0
Inc.,19900 W NINE MILE RD,SOUTHFIELD,MI
106 E. MAIN ST,SPRING ARBOR,MI,492839799.0
11611 West Pine Lake Road,PLAINWELL,MI,490809254.0
601 QUINCY ST,HANCOCK,MI,499301882.0
300 S CAPITOL AVE,LANSING,MI,48901.0
111 Commerce Street,SW,Grand Rapids,MI
2630 Featherstone,Auburn Hills,MI,48326.0
2600 LINCOLN  AVENUE,ST JOSEPH,MI,49085.0
920 Hastings,Traverse City,MI,49686.0
6323 University Commons,South Bend,IN,46635.0
23620 HARPER RD,ST CLAIR SHORES,MI,48080.0
34580 FORD RD,WESTLAND,MI,48185.0
22925 WOODWARD AVE,FERNDALE,MI,48220.0
3838 Livernois,TROY,MI,480835048.0
41500 Gardenbrook Road,Novi,MI,483751313.0
4800 E HURON RIVER DR,ANN ARBOR,MI,481054800.0
801 W FORT ST,DETROIT,MI,48226.0
656 W KIRBY,DETROIT,MI,48202.0
3000 N STILES RD,SCOTTVILLE,MI,494540277.0
1903 West Michigan Avenue,Kalamazoo,MI,490085167.0
50 W. Jackson,Battle Creek,MI,490173505.0
2333 East Beltline Avenue,SE,Grand Rapids,MI
6105 West St. Joseph Highway,Suite. 205,Lansing,MI
221 S. Quarterline Road,Muskegon,MI,494421742.0
NMC University Center,2200 Dendrinos Dr. Ste 200S,Traverse City,MI
2785 East Napier Ave.,Benton Harbor,MI,49022.0
200 Ionia Avenue,SW,Grand Rapids,MI
237 N. Helmer Road,Battle Creek,MI,49017.0
101 E 13TH ST,HOLLAND,MI,494233622.0
492 CAPITAL SW,BATTLE CREEK,MI,49015.0
1101 E. 78th Street,Suite 100,MINNEAPOLIS,MN
1601 JEFFERSON ST,ALEXANDRIA,MN,56308.0
1845 E. Franklin Ave,Minneapolis,MN,554042221.0
1355 W HWY 10,ANOKA,MN,55303.0
11200 MISSISSIPPI BLVD,NW,COON RAPIDS,MN
300 Spirt River Drive South,Cambridge,MN,55008.0
2211 RIVERSIDE AVE,MINNEAPOLIS,MN,55454.0
2619 NW 9th Ave.,Rochester,MN,55902.0
1900 8TH AVE NW,AUSTIN,MN,55912.0
2200 Riverland Drive,Albert Lea,MN,56007.0
965 Alexander Dr SW,Austin,MN,55060.0
905 GRANT AVE SE,BEMIDJI,MN,566014907.0
1500 BIRCHMONT DR NE,BEMIDJI,MN,566012600.0
700 LUTHER DR,MANKATO,MN,56001.0
3900 BETHEL DR,Arden Hills,MN,551126999.0
3949 BETHEL DR,Arden Hills,MN,55112.0
501 WEST COLLEGE DRIVE,BRAINERD,MN,56401.0
1830 Airport Road,STAPLES,MN,564790099.0
One North College Street,NORTHFIELD,MN,550574001.0
901 S 8TH ST,MOORHEAD,MN,56562.0
275 SYNDICATE STREET NORTH,ST PAUL,MN,551045494.0
1300 E 145TH ST,ROSEMOUNT,MN,550682999.0
1995 LUTHER CT,NEW ULM,MN,560733965.0
2101 TRINITY RD,DULUTH,MN,558113399.0
121 W SUPERIOR ST,DULUTH,MN,55802.0
4724 Mike Colalillo Drive,DULUTH,MN,55807.0
1414 COLLEGE WAY,FERGUS FALLS,MN,565371000.0
900 HWY 34 E,DETROIT LAKES,MN,56501.0
1900 28TH AVE S,MOORHEAD,MN,56560.0
405 SW COLFAX AVE BOX 566,WADENA,MN,56482.0
8089 Globe Drive,Woodbury,MN,55125.0
1593 11th Avenue,Granite Falls,MN,56241.0
1450 Collegeway,Worthington,MN,56187.0
1011 First Street West,Canby,MN,56220.0
1314 North Hiawatha Avenue,Pipestone,MN,56164.0
401 West Street,Jackson,MN,56143.0
115 South Park Street,Fairmont,MN,56031.0
311 North Spring Street,Luverne,MN,56156.0
800 West College Avenue,St. Peter,MN,560821498.0
1536 HEWITT AVENUE,ST PAUL,MN,551041284.0
15251 Pleasant Valley Rd,Center City,MN,550120011.0
9000 Brooklyn Blvd,Brooklyn Park,MN,55445.0
13100 College View Drive,Eden Prairie,MN,55347.0
2534 East Beltline,HIBBING,MN,55746.0
1515 E 25TH ST,HIBBING,MN,55746.0
400 CENTRAL AVE SE,MINNEAPOLIS,MN,55414.0
2500 80TH ST E,INVER GROVE HEIGHTS,MN,550763224.0
1851 HWY 169 E,GRAND RAPIDS,MN,557443397.0
15 S 9TH ST,La Salle Building,MINNEAPOLIS,MN
2481Como Avenue,St Paul,MN,551081496.0
1600 GRAND AVE,ST PAUL,MN,551051801.0
1920 Lee Boulevard,North Mankato,MN,560031920.0
1225 Third Street SW,Faribault,MN,550215782.0
SOUTH RD AND ELLIS AVE,MANKATO,MN,56001.0
1351 113th Ave NE,BLAINE,MN,55434.0
200 1ST ST SW,ROCHESTER,MN,55905.0
200 FIRST ST SW,ROCHESTER,MN,55905.0
1515 CENTRAL PARKWAY,EAGAN,MN,55121.0
1001 CHESTNUT ST WEST,VIRGINIA,MN,55792.0
1100 INDUSTRIAL PARK DR,EVELETH,MN,55734.0
700 E SEVENTH ST,ST PAUL,MN,551065000.0
100 CHURCH STREET SE,MINNEAPOLIS,MN,554550213.0
300 University Square,111 S. Broadway,Rochester,MN
105 SELVIG HALL,CROOKSTON,MN,56716.0
1711 W COUNTY RD B,ROSEVILLE,MN,551130000.0
2501 STEVENS AVE S,MINNEAPOLIS,MN,55404.0
1501 HENNEPIN AVE,MINNEAPOLIS,MN,554031779.0
5700 W BROADWAY,MINNEAPOLIS,MN,554283548.0
1750 WEIR DRIVE,WOODBURY,MN,55125.0
920 MAYOWOOD RD SW,ROCHESTER,MN,559022382.0
1049 University Drive,Duluth,MN,55812.0
MORRIS,600 EAST 4TH STREET,MORRIS,MN
1401 W 76 ST,RICHFIELD,MN,55423.0
201 EIGHTH AVE S,ST CLOUD,MN,563014332.0
1104 7th Avenue South,Moorhead,MN,56563.0
663 164th Street South,Glyndon,MN,56547.0
7411 85TH AVE N,BROOKLYN PARK,MN,55445.0
1550 WEST HIGHWAY 36,ROSEVILLE,MN,551134035.0
1440 NORTHLAND DR,MENDOTA HEIGHTS,MN,551201004.0
6860 Shingle Creek Parkway,Brooklyn Center,MN,55430.0
9700 FRANCE AVE S,BLOOMINGTON,MN,55431.0
910 ELLIOT AVE,MINNEAPOLIS,MN,554041391.0
7905 Golden Triangle Drive #100,Eden Prairie,MN,553447220.0
HWY 1E,THIEF RIVER FALLS,MN,56701.0
